province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,—,48.0,8.0,17.0,48.0,38.0,0.6,0.5,12.0,94.0,39.0,67.0,48.0,52.0,19.0,34.0,112.4722,23.0786,2017-10-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,10.0,17.0,49.0,38.0,0.6,0.5,5.0,94.0,5.0,5.0,53.0,52.0,22.0,34.0,112.4722,23.0786,2017-10-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,12.0,17.0,52.0,39.0,0.7,0.5,0.0,94.0,2.0,5.0,53.0,54.0,25.0,35.0,112.4722,23.0786,2017-10-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,49.0,21.0,17.0,52.0,39.0,0.7,0.6,0.0,94.0,2.0,5.0,49.0,54.0,24.0,35.0,112.4722,23.0786,2017-10-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,34.0,18.0,55.0,40.0,0.7,0.6,0.0,94.0,1.0,5.0,54.0,55.0,25.0,35.0,112.4722,23.0786,2017-10-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,26.0,17.0,51.0,40.0,0.8,0.6,0.0,94.0,1.0,5.0,54.0,54.0,25.0,33.0,112.4722,23.0786,2017-10-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),55.0,31.0,17.0,55.0,39.0,0.8,0.6,0.0,94.0,1.0,5.0,59.0,53.0,28.0,32.0,112.4722,23.0786,2017-10-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),54.0,29.0,17.0,49.0,39.0,0.7,0.6,2.0,94.0,1.0,5.0,58.0,52.0,30.0,30.0,112.4722,23.0786,2017-10-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),57.0,19.0,16.0,37.0,38.0,0.7,0.6,10.0,94.0,2.0,5.0,63.0,51.0,38.0,29.0,112.4722,23.0786,2017-10-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),74.0,15.0,15.0,41.0,37.0,0.8,0.6,17.0,94.0,4.0,5.0,68.0,49.0,54.0,28.0,112.4722,23.0786,2017-10-01 09:00:00
