province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,,55.0,30.0,,44.0,,0.264,,24.0,,25.75,,0.0,,41.0,,112.4722,23.0786,2013-04-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,57.0,36.0,,54.0,,0.226,,10.0,,27.125,,0.0,,51.0,,112.4722,23.0786,2013-04-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,58.0,33.0,,54.0,,0.31,,10.0,,27.5,,55.0,,50.0,,112.4722,23.0786,2013-04-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,58.0,41.0,,56.0,,0.346,,14.0,,29.125,,62.0,,47.0,,112.4722,23.0786,2013-04-01 09:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,59.0,47.0,,63.0,,0.409,,31.0,,30.25,,85.0,,47.0,,112.4722,23.0786,2013-04-01 10:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,60.0,35.0,,60.0,,0.285,,57.0,,29.375,,59.0,,40.0,,112.4722,23.0786,2013-04-01 11:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,62.0,31.0,,51.0,,0.186,,65.0,,28.625,,59.0,,43.0,,112.4722,23.0786,2013-04-01 12:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,63.0,27.0,,51.0,,0.134,,64.0,,30.125,,55.0,,49.0,,112.4722,23.0786,2013-04-01 13:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,64.0,29.0,,66.0,,0.118,,46.0,,31.25,,74.0,,74.0,,112.4722,23.0786,2013-04-01 14:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,68.0,34.0,,82.0,,0.164,,42.0,,33.375,,0.0,,87.0,,112.4722,23.0786,2013-04-01 15:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,68.0,34.0,,82.0,,0.164,,42.0,,35.125,,0.0,,87.0,,112.4722,23.0786,2013-04-01 16:00:00
