province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,,191.0,25.0,,70.0,,1.492,,17.0,,14.125,,195.0,,144.0,,112.4722,23.0786,2014-01-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,191.0,27.0,,66.0,,1.375,,17.0,,14.625,,191.0,,144.0,,112.4722,23.0786,2014-01-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,183.0,21.0,,63.0,,1.422,,16.0,,16.375,,175.0,,138.0,,112.4722,23.0786,2014-01-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,169.0,22.0,,58.0,,1.255,,14.0,,22.25,,165.0,,128.0,,112.4722,23.0786,2014-01-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,153.0,20.0,,55.0,,1.091,,14.0,,33.5,,152.0,,117.0,,112.4722,23.0786,2014-01-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,138.0,25.0,,52.0,,0.962,,14.0,,46.875,,131.0,,105.0,,112.4722,23.0786,2014-01-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,149.0,23.0,,51.0,,0.994,,14.0,,63.75,,163.0,,114.0,,112.4722,23.0786,2014-01-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,132.0,16.0,,46.0,,0.903,,13.0,,84.0,,114.0,,101.0,,112.4722,23.0786,2014-01-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,136.0,18.0,,44.0,,0.87,,13.0,,106.125,,143.0,,104.0,,112.4722,23.0786,2014-01-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,138.0,20.0,,45.0,,0.951,,18.0,,126.25,,134.0,,105.0,,112.4722,23.0786,2014-01-01 09:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,135.0,38.0,,47.0,,1.008,,31.0,,134.75,,118.0,,103.0,,112.4722,23.0786,2014-01-01 10:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,163.0,51.0,,54.0,,1.182,,43.0,,136.0,,170.0,,124.0,,112.4722,23.0786,2014-01-01 11:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,144.0,40.0,,53.0,,1.293,,76.0,,128.0,,144.0,,110.0,,112.4722,23.0786,2014-01-01 12:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,118.0,48.0,,41.0,,1.067,,136.0,,125.375,,94.0,,89.0,,112.4722,23.0786,2014-01-01 13:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,130.0,61.0,,35.0,,1.069,,165.0,,110.625,,129.0,,99.0,,112.4722,23.0786,2014-01-01 14:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,110.0,63.0,,32.0,,0.998,,171.0,,90.875,,145.0,,83.0,,112.4722,23.0786,2014-01-01 15:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,102.0,52.0,,25.0,,0.925,,188.0,,69.0,,102.0,,77.0,,112.4722,23.0786,2014-01-01 16:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,100.0,36.0,,21.0,,0.878,,200.0,,48.75,,93.0,,67.0,,112.4722,23.0786,2014-01-01 17:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,112.0,46.0,,39.0,,1.027,,145.0,,38.75,,170.0,,85.0,,112.4722,23.0786,2014-01-01 18:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,142.0,47.0,,47.0,,1.147,,108.0,,31.625,,153.0,,109.0,,112.4722,23.0786,2014-01-01 19:00:00
