province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,,124.0,26.0,,52.0,,0.835,,7.0,,35.875,,197.0,,72.0,,112.4722,23.0786,2013-12-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,94.0,25.0,,43.0,,0.69,,16.0,,41.0,,139.0,,60.0,,112.4722,23.0786,2013-12-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,104.0,36.0,,40.0,,0.633,,18.0,,44.875,,157.0,,65.0,,112.4722,23.0786,2013-12-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,88.0,24.0,,44.0,,0.715,,8.0,,52.625,,126.0,,61.0,,112.4722,23.0786,2013-12-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,94.0,21.0,,35.0,,0.627,,20.0,,61.125,,138.0,,52.0,,112.4722,23.0786,2013-12-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,95.0,21.0,,40.0,,0.686,,5.0,,65.875,,140.0,,59.0,,112.4722,23.0786,2013-12-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,72.0,17.0,,35.0,,0.632,,6.0,,71.625,,0.0,,53.0,,112.4722,23.0786,2013-12-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,64.0,24.0,,23.0,,0.554,,43.0,,79.875,,67.0,,46.0,,112.4722,23.0786,2013-12-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,110.0,22.0,,30.0,,0.704,,20.0,,91.5,,171.0,,54.0,,112.4722,23.0786,2013-12-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,81.0,30.0,,26.0,,0.663,,42.0,,103.5,,112.0,,52.0,,112.4722,23.0786,2013-12-01 09:00:00
