province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,,66.0,17.0,,78.0,,0.525,,14.0,,14.125,,68.0,,48.0,,112.4722,23.0786,2013-05-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,72.0,19.0,,74.0,,0.607,,17.0,,15.875,,86.0,,53.0,,112.4722,23.0786,2013-05-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,66.0,16.0,,63.0,,0.607,,15.0,,18.625,,63.0,,48.0,,112.4722,23.0786,2013-05-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,66.0,16.0,,59.0,,0.54,,15.0,,22.125,,0.0,,48.0,,112.4722,23.0786,2013-05-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,36.0,14.0,,45.0,,0.448,,24.0,,32.25,,0.0,,25.0,,112.4722,23.0786,2013-05-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,34.0,17.0,,37.0,,0.316,,36.0,,45.875,,0.0,,24.0,,112.4722,23.0786,2013-05-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,24.0,15.0,,33.0,,0.287,,42.0,,57.25,,19.0,,17.0,,112.4722,23.0786,2013-05-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,19.0,10.0,,32.0,,0.249,,50.0,,68.0,,0.0,,13.0,,112.4722,23.0786,2013-05-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,23.0,12.0,,28.0,,0.259,,64.0,,79.25,,20.0,,16.0,,112.4722,23.0786,2013-05-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,17.0,9.0,,22.0,,0.275,,86.0,,89.0,,0.0,,12.0,,112.4722,23.0786,2013-05-01 09:00:00
