province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),79.0,19.0,19.0,21.0,13.0,1.007,1.032,29.0,109.0,39.0,134.0,0.0,72.0,58.0,71.0,112.4722,23.0786,2014-05-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),102.0,20.0,19.0,30.0,14.0,1.031,1.032,20.0,97.0,34.0,129.0,0.0,75.0,76.0,71.0,112.4722,23.0786,2014-05-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),88.0,19.0,19.0,24.0,15.0,1.025,1.034,23.0,93.0,33.0,123.0,0.0,74.0,65.0,71.0,112.4722,23.0786,2014-05-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),72.0,23.0,20.0,24.0,16.0,1.009,1.036,28.0,83.0,32.0,115.0,53.0,74.0,52.0,71.0,112.4722,23.0786,2014-05-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),100.0,27.0,20.0,23.0,17.0,1.009,1.037,28.0,71.0,30.0,108.0,0.0,73.0,75.0,72.0,112.4722,23.0786,2014-05-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),102.0,22.0,20.0,15.0,17.0,0.994,1.037,30.0,71.0,28.0,102.0,0.0,71.0,76.0,72.0,112.4722,23.0786,2014-05-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),84.0,20.0,20.0,12.0,17.0,0.974,1.037,37.0,71.0,29.0,91.0,0.0,69.0,62.0,71.0,112.4722,23.0786,2014-05-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),77.0,15.0,20.0,12.0,17.0,0.939,1.036,43.0,71.0,30.0,82.0,0.0,68.0,56.0,71.0,112.4722,23.0786,2014-05-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),74.0,15.0,19.0,8.0,16.0,0.956,1.034,43.0,71.0,32.0,77.0,0.0,68.0,54.0,70.0,112.4722,23.0786,2014-05-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),72.0,16.0,19.0,7.0,16.0,1.03,1.033,44.0,71.0,35.0,74.0,0.0,70.0,52.0,69.0,112.4722,23.0786,2014-05-01 09:00:00
