province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,,45.0,22.0,,30.0,,0.878,,57.0,,50.125,,45.0,,28.0,,112.4722,23.0786,2013-07-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,47.0,20.0,,31.0,,0.872,,51.0,,49.875,,47.0,,30.0,,112.4722,23.0786,2013-07-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,61.0,25.0,,34.0,,0.898,,46.0,,50.875,,72.0,,44.0,,112.4722,23.0786,2013-07-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,68.0,26.0,,55.0,,0.895,,23.0,,54.5,,75.0,,49.0,,112.4722,23.0786,2013-07-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,74.0,30.0,,52.0,,0.928,,21.0,,61.75,,69.0,,54.0,,112.4722,23.0786,2013-07-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,58.0,28.0,,47.0,,0.955,,22.0,,71.625,,44.0,,41.0,,112.4722,23.0786,2013-07-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,62.0,24.0,,47.0,,0.871,,20.0,,82.375,,73.0,,37.0,,112.4722,23.0786,2013-07-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,61.0,25.0,,50.0,,0.928,,23.0,,93.625,,70.0,,44.0,,112.4722,23.0786,2013-07-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,58.0,34.0,,40.0,,0.891,,31.0,,104.625,,66.0,,36.0,,112.4722,23.0786,2013-07-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,84.0,75.0,,51.0,,0.914,,37.0,,114.75,,117.0,,52.0,,112.4722,23.0786,2013-07-01 09:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,86.0,62.0,,60.0,,0.953,,46.0,,127.125,,122.0,,56.0,,112.4722,23.0786,2013-07-01 10:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,88.0,54.0,,66.0,,0.984,,61.0,,132.875,,121.0,,65.0,,112.4722,23.0786,2013-07-01 11:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,96.0,41.0,,53.0,,0.992,,82.0,,133.5,,142.0,,52.0,,112.4722,23.0786,2013-07-01 12:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,76.0,32.0,,39.0,,0.911,,116.0,,128.875,,103.0,,36.0,,112.4722,23.0786,2013-07-01 13:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,81.0,27.0,,31.0,,0.944,,185.0,,121.875,,86.0,,31.0,,112.4722,23.0786,2013-07-01 14:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,,88.0,19.0,,30.0,,0.863,,190.0,,113.5,,102.0,,28.0,,112.4722,23.0786,2013-07-01 15:00:00
