province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,—,37.0,14.0,15.0,20.0,20.0,0.5,0.5,15.0,83.0,47.0,66.0,37.0,37.0,18.0,16.0,112.4722,23.0786,2017-07-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,39.0,17.0,16.0,25.0,21.0,0.5,0.5,8.0,83.0,8.0,8.0,39.0,38.0,18.0,17.0,112.4722,23.0786,2017-07-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,33.0,13.0,16.0,24.0,21.0,0.5,0.5,7.0,83.0,8.0,8.0,33.0,38.0,15.0,17.0,112.4722,23.0786,2017-07-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,30.0,11.0,15.0,22.0,20.0,0.5,0.5,6.0,83.0,7.0,8.0,30.0,37.0,15.0,17.0,112.4722,23.0786,2017-07-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,28.0,14.0,15.0,23.0,20.0,0.5,0.5,5.0,83.0,6.0,8.0,28.0,37.0,15.0,17.0,112.4722,23.0786,2017-07-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,44.0,31.0,15.0,29.0,20.0,0.5,0.5,2.0,83.0,6.0,8.0,44.0,37.0,17.0,17.0,112.4722,23.0786,2017-07-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,47.0,32.0,16.0,33.0,21.0,0.6,0.5,0.0,83.0,5.0,8.0,47.0,37.0,18.0,17.0,112.4722,23.0786,2017-07-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,40.0,23.0,16.0,29.0,21.0,0.6,0.5,3.0,83.0,4.0,8.0,40.0,37.0,17.0,17.0,112.4722,23.0786,2017-07-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,35.0,21.0,16.0,22.0,21.0,0.5,0.5,7.0,83.0,5.0,8.0,35.0,37.0,16.0,17.0,112.4722,23.0786,2017-07-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,35.0,19.0,15.0,20.0,21.0,0.6,0.5,11.0,83.0,5.0,8.0,35.0,37.0,16.0,17.0,112.4722,23.0786,2017-07-01 09:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,33.0,14.0,15.0,18.0,21.0,0.5,0.5,19.0,83.0,7.0,8.0,33.0,36.0,15.0,17.0,112.4722,23.0786,2017-07-01 10:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,25.0,10.0,15.0,15.0,21.0,0.5,0.5,33.0,83.0,10.0,10.0,25.0,36.0,14.0,16.0,112.4722,23.0786,2017-07-01 11:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,22.0,8.0,15.0,11.0,21.0,0.4,0.5,49.0,83.0,16.0,16.0,22.0,36.0,14.0,16.0,112.4722,23.0786,2017-07-01 12:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,23.0,7.0,15.0,11.0,21.0,0.5,0.5,65.0,76.0,23.0,23.0,23.0,36.0,14.0,16.0,112.4722,23.0786,2017-07-01 13:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,22.0,6.0,15.0,8.0,21.0,0.4,0.5,70.0,76.0,32.0,32.0,17.0,34.0,14.0,16.0,112.4722,23.0786,2017-07-01 14:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,26.0,7.0,15.0,10.0,21.0,0.4,0.5,68.0,76.0,40.0,40.0,26.0,34.0,15.0,16.0,112.4722,23.0786,2017-07-01 15:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,37.0,9.0,15.0,15.0,21.0,0.5,0.5,71.0,76.0,48.0,48.0,37.0,35.0,16.0,16.0,112.4722,23.0786,2017-07-01 16:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,40.0,9.0,15.0,16.0,21.0,0.5,0.5,67.0,76.0,55.0,55.0,40.0,35.0,16.0,16.0,112.4722,23.0786,2017-07-01 17:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,41.0,8.0,15.0,19.0,21.0,0.5,0.5,59.0,71.0,60.0,60.0,41.0,35.0,16.0,16.0,112.4722,23.0786,2017-07-01 18:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,39.0,11.0,15.0,17.0,21.0,0.5,0.5,53.0,71.0,63.0,63.0,39.0,35.0,16.0,16.0,112.4722,23.0786,2017-07-01 19:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,28.0,7.0,14.0,14.0,20.0,0.5,0.5,45.0,71.0,62.0,63.0,28.0,35.0,15.0,16.0,112.4722,23.0786,2017-07-01 20:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,27.0,6.0,13.0,15.0,19.0,0.5,0.5,38.0,71.0,59.0,63.0,27.0,33.0,14.0,16.0,112.4722,23.0786,2017-07-01 21:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,29.0,6.0,13.0,16.0,19.0,0.5,0.5,32.0,71.0,54.0,63.0,29.0,33.0,12.0,16.0,112.4722,23.0786,2017-07-01 22:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,28.0,7.0,13.0,17.0,19.0,0.5,0.5,27.0,71.0,49.0,63.0,28.0,33.0,12.0,15.0,112.4722,23.0786,2017-07-01 23:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,35.0,10.0,13.0,22.0,19.0,0.5,0.5,20.0,71.0,43.0,63.0,35.0,33.0,13.0,15.0,112.4722,23.0786,2017-07-02 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,38.0,12.0,13.0,21.0,19.0,0.5,0.5,19.0,71.0,19.0,19.0,38.0,32.0,14.0,15.0,112.4722,23.0786,2017-07-02 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,32.0,10.0,12.0,21.0,18.0,0.5,0.5,18.0,71.0,18.0,19.0,32.0,32.0,12.0,15.0,112.4722,23.0786,2017-07-02 02:00:00
