province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,—,29.0,5.0,9.0,8.0,12.0,0.9,0.9,91.0,105.0,90.0,96.0,17.0,24.0,9.0,12.0,112.4722,23.0786,2017-04-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,28.0,5.0,8.0,7.0,11.0,0.9,0.9,88.0,105.0,88.0,88.0,13.0,23.0,12.0,12.0,112.4722,23.0786,2017-04-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,29.0,6.0,7.0,5.0,11.0,0.9,0.9,91.0,105.0,90.0,90.0,13.0,20.0,13.0,11.0,112.4722,23.0786,2017-04-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,27.0,6.0,7.0,6.0,11.0,0.9,0.9,86.0,105.0,88.0,90.0,13.0,18.0,13.0,10.0,112.4722,23.0786,2017-04-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,26.0,6.0,6.0,10.0,10.0,0.9,0.9,83.0,105.0,87.0,90.0,17.0,16.0,13.0,9.0,112.4722,23.0786,2017-04-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,26.0,7.0,6.0,10.0,10.0,0.9,0.9,83.0,105.0,86.0,90.0,18.0,14.0,13.0,9.0,112.4722,23.0786,2017-04-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,28.0,6.0,6.0,6.0,10.0,0.8,0.9,88.0,105.0,86.0,90.0,21.0,14.0,13.0,9.0,112.4722,23.0786,2017-04-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,27.0,5.0,6.0,6.0,10.0,0.8,0.9,85.0,105.0,86.0,90.0,17.0,14.0,13.0,9.0,112.4722,23.0786,2017-04-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,40.0,6.0,6.0,10.0,9.0,0.9,0.9,79.0,105.0,85.0,90.0,,14.0,28.0,10.0,112.4722,23.0786,2017-04-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,29.0,8.0,6.0,13.0,9.0,0.9,0.9,78.0,105.0,84.0,90.0,29.0,15.0,18.0,11.0,112.4722,23.0786,2017-04-01 09:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,37.0,10.0,6.0,14.0,10.0,0.9,0.9,83.0,105.0,83.0,90.0,37.0,16.0,19.0,11.0,112.4722,23.0786,2017-04-01 10:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,39.0,11.0,6.0,16.0,9.0,0.9,0.9,92.0,105.0,84.0,90.0,39.0,18.0,23.0,12.0,112.4722,23.0786,2017-04-01 11:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,13.0,6.0,19.0,10.0,0.9,0.9,97.0,105.0,86.0,90.0,54.0,20.0,29.0,13.0,112.4722,23.0786,2017-04-01 12:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,48.0,12.0,7.0,18.0,10.0,0.9,0.9,115.0,115.0,90.0,90.0,48.0,22.0,31.0,14.0,112.4722,23.0786,2017-04-01 13:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,46.0,11.0,7.0,13.0,10.0,0.8,0.9,145.0,145.0,97.0,97.0,43.0,24.0,26.0,15.0,112.4722,23.0786,2017-04-01 14:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,50.0,11.0,7.0,14.0,10.0,0.7,0.9,160.0,160.0,106.0,106.0,42.0,24.0,22.0,16.0,112.4722,23.0786,2017-04-01 15:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,臭氧1小时,53.0,12.0,7.0,16.0,11.0,0.7,0.9,162.0,162.0,116.0,116.0,50.0,26.0,21.0,16.0,112.4722,23.0786,2017-04-01 16:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,臭氧1小时,59.0,11.0,8.0,15.0,11.0,0.7,0.9,167.0,167.0,128.0,128.0,46.0,27.0,19.0,17.0,112.4722,23.0786,2017-04-01 17:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,11.0,8.0,18.0,11.0,0.7,0.9,158.0,167.0,137.0,137.0,54.0,29.0,20.0,17.0,112.4722,23.0786,2017-04-01 18:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,48.0,11.0,8.0,19.0,12.0,0.7,0.8,152.0,167.0,144.0,144.0,46.0,30.0,21.0,18.0,112.4722,23.0786,2017-04-01 19:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,47.0,11.0,8.0,14.0,12.0,0.7,0.8,148.0,167.0,151.0,151.0,44.0,31.0,21.0,18.0,112.4722,23.0786,2017-04-01 20:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,44.0,10.0,9.0,15.0,12.0,0.6,0.8,134.0,167.0,153.0,153.0,44.0,32.0,21.0,18.0,112.4722,23.0786,2017-04-01 21:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,45.0,9.0,9.0,13.0,12.0,0.6,0.8,129.0,167.0,151.0,153.0,45.0,33.0,21.0,19.0,112.4722,23.0786,2017-04-01 22:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,41.0,9.0,9.0,10.0,12.0,0.6,0.8,130.0,167.0,148.0,153.0,36.0,34.0,22.0,19.0,112.4722,23.0786,2017-04-01 23:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,41.0,9.0,9.0,9.0,12.0,0.6,0.8,129.0,167.0,143.0,153.0,37.0,35.0,20.0,20.0,112.4722,23.0786,2017-04-02 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,40.0,14.0,9.0,11.0,12.0,0.6,0.8,127.0,167.0,127.0,127.0,35.0,36.0,23.0,20.0,112.4722,23.0786,2017-04-02 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,42.0,12.0,10.0,9.0,13.0,0.6,0.8,134.0,167.0,130.0,130.0,35.0,37.0,20.0,20.0,112.4722,23.0786,2017-04-02 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,41.0,13.0,10.0,12.0,13.0,0.6,0.7,127.0,167.0,129.0,130.0,41.0,38.0,22.0,21.0,112.4722,23.0786,2017-04-02 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,48.0,17.0,10.0,15.0,13.0,0.6,0.7,116.0,167.0,126.0,130.0,48.0,40.0,25.0,21.0,112.4722,23.0786,2017-04-02 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),53.0,15.0,11.0,23.0,14.0,0.6,0.7,89.0,167.0,119.0,130.0,55.0,41.0,26.0,22.0,112.4722,23.0786,2017-04-02 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),54.0,14.0,11.0,40.0,15.0,0.7,0.7,59.0,167.0,109.0,130.0,58.0,43.0,29.0,22.0,112.4722,23.0786,2017-04-02 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),54.0,14.0,11.0,51.0,17.0,0.7,0.7,41.0,167.0,99.0,130.0,57.0,44.0,31.0,23.0,112.4722,23.0786,2017-04-02 07:00:00
