province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,—,48.0,14.0,12.0,27.0,19.0,0.6,0.6,16.0,144.0,72.0,124.0,48.0,45.0,21.0,27.0,112.4722,23.0786,2017-06-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,47.0,15.0,12.0,29.0,19.0,0.6,0.6,8.0,144.0,8.0,8.0,47.0,46.0,21.0,26.0,112.4722,23.0786,2017-06-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,44.0,16.0,13.0,28.0,20.0,0.6,0.6,6.0,144.0,7.0,8.0,44.0,46.0,20.0,26.0,112.4722,23.0786,2017-06-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,37.0,17.0,12.0,25.0,20.0,0.7,0.6,11.0,144.0,8.0,8.0,37.0,46.0,18.0,25.0,112.4722,23.0786,2017-06-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,42.0,19.0,12.0,30.0,20.0,0.7,0.6,8.0,144.0,8.0,8.0,42.0,46.0,20.0,25.0,112.4722,23.0786,2017-06-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,36.0,13.0,12.0,29.0,20.0,0.6,0.6,9.0,144.0,8.0,8.0,36.0,45.0,20.0,24.0,112.4722,23.0786,2017-06-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,34.0,8.0,12.0,25.0,20.0,0.6,0.6,14.0,144.0,9.0,9.0,34.0,45.0,19.0,24.0,112.4722,23.0786,2017-06-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,39.0,10.0,12.0,28.0,20.0,0.6,0.6,11.0,144.0,10.0,10.0,39.0,45.0,20.0,24.0,112.4722,23.0786,2017-06-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,43.0,11.0,11.0,28.0,21.0,0.7,0.6,13.0,144.0,10.0,10.0,43.0,45.0,22.0,24.0,112.4722,23.0786,2017-06-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,35.0,9.0,11.0,22.0,21.0,0.7,0.6,31.0,144.0,13.0,13.0,35.0,44.0,20.0,23.0,112.4722,23.0786,2017-06-01 09:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,47.0,9.0,11.0,22.0,21.0,0.7,0.6,52.0,144.0,19.0,19.0,47.0,44.0,20.0,23.0,112.4722,23.0786,2017-06-01 10:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,40.0,8.0,11.0,16.0,21.0,0.6,0.6,80.0,144.0,27.0,27.0,40.0,44.0,19.0,23.0,112.4722,23.0786,2017-06-01 11:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,37.0,10.0,11.0,14.0,21.0,0.5,0.6,92.0,144.0,38.0,38.0,37.0,43.0,17.0,22.0,112.4722,23.0786,2017-06-01 12:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,29.0,7.0,11.0,9.0,21.0,0.5,0.6,85.0,144.0,47.0,47.0,29.0,42.0,17.0,21.0,112.4722,23.0786,2017-06-01 13:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,30.0,6.0,11.0,9.0,21.0,0.5,0.6,96.0,144.0,58.0,58.0,30.0,42.0,17.0,21.0,112.4722,23.0786,2017-06-01 14:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,37.0,7.0,11.0,11.0,21.0,0.5,0.6,101.0,144.0,69.0,69.0,37.0,42.0,17.0,20.0,112.4722,23.0786,2017-06-01 15:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,41.0,8.0,11.0,13.0,21.0,0.6,0.6,95.0,133.0,79.0,79.0,41.0,42.0,18.0,20.0,112.4722,23.0786,2017-06-01 16:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),51.0,7.0,11.0,17.0,21.0,0.6,0.6,97.0,106.0,87.0,87.0,52.0,43.0,19.0,20.0,112.4722,23.0786,2017-06-01 17:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),59.0,8.0,11.0,21.0,21.0,0.6,0.6,84.0,103.0,91.0,91.0,68.0,43.0,20.0,20.0,112.4722,23.0786,2017-06-01 18:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),55.0,7.0,11.0,21.0,21.0,0.7,0.6,57.0,101.0,88.0,91.0,59.0,43.0,21.0,20.0,112.4722,23.0786,2017-06-01 19:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,8.0,10.0,22.0,21.0,0.7,0.6,47.0,101.0,83.0,91.0,54.0,43.0,22.0,20.0,112.4722,23.0786,2017-06-01 20:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),52.0,8.0,10.0,26.0,22.0,0.7,0.6,39.0,101.0,77.0,91.0,53.0,44.0,22.0,20.0,112.4722,23.0786,2017-06-01 21:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,50.0,7.0,10.0,27.0,22.0,0.7,0.6,34.0,101.0,69.0,91.0,50.0,44.0,21.0,20.0,112.4722,23.0786,2017-06-01 22:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,48.0,9.0,10.0,29.0,22.0,0.7,0.6,25.0,101.0,60.0,91.0,48.0,44.0,21.0,20.0,112.4722,23.0786,2017-06-01 23:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,48.0,10.0,10.0,29.0,22.0,0.6,0.6,22.0,101.0,51.0,91.0,48.0,44.0,21.0,20.0,112.4722,23.0786,2017-06-02 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,—,44.0,11.0,10.0,30.0,22.0,0.7,0.6,12.0,101.0,12.0,12.0,44.0,44.0,21.0,20.0,112.4722,23.0786,2017-06-02 01:00:00
